name,ratingValue,date,director,stars,metaScore,review_users,review_critcs,popularity,keywords,genres,contentRating,country,language,budget,opening_week,gross,runtime,color,asp
Before Sunset (2004)            ,"8.0 based on 168,040 user ratings",2004-07-30,Richard Linklater,"Ethan Hawke,Julie Delpy,Vernon Dobtcheff",90,492 user,211 critic,1,"simultaneity,book,train,bookstore,love","Drama,Romance",Rated R for language and sexual references,USA,"English,French",2700000,228304(Germany),5792822,80,Color,1.85:1
Eternal Sunshine of the Spotless Mind (2004)            ,"8.3 based on 665,379 user ratings",2004-03-19,Michel Gondry,"Jim Carrey,Kate Winslet,Tom Wilkinson",89,"1,512 user",273 critic,408,"memory,retrograde-narrative,loneliness,playing-against-type,borderline-personality-disorder","Drama,Fantasy,Romance,Sci-Fi","Rated R for language, some drug and sexual content",USA,English,20000000,8175198(USA),34126138,108,Color,1.85:1
The Notebook (2004)            ,"7.9 based on 395,557 user ratings",2004-06-25,Nick Cassavetes,"Gena Rowlands,James Garner,Rachel McAdams",53,"1,110 user",177 critic,362,"letter,second-chance,summer-love,class-differences,nursing-home","Drama,Romance",Rated PG-13 for some sexuality,USA,English,29000000,£309507(UK),64286,123,Color,2.35:1
Crash (2004)            ,"7.9 based on 360,744 user ratings",2005-05-06,Paul Haggis,"Don Cheadle,Sandra Bullock,Thandie Newton",69,"1,624 user",287 critic,908,"racist,racism,race-relations,stereotype,social-problem","Crime,Drama,Thriller","Rated R for language, sexual content and some violence","Germany,USA","English,Persian,Spanish,Mandarin,Korean",6500000,9107071(USA),54557348,112,Color,2.35:1
Million Dollar Baby (2004)            ,"8.1 based on 481,028 user ratings",2005-01-28,Clint Eastwood,"Hilary Swank,Clint Eastwood,Morgan Freeman",86,"1,106 user",268 critic,1,"boxing,boxing-trainer,women-boxing,death,suicide-attempt","Drama,Sport","Rated PG-13 for violence, some disturbing images, thematic material and language",USA,"English,Irish",30000000,179953(USA),100422786,132,Color,2.35:1
The Aviator (2004)            ,"7.5 based on 263,895 user ratings",2004-12-25,Martin Scorsese,"Leonardo DiCaprio,Cate Blanchett,Kate Beckinsale",77,799 user,267 critic,1,"spruce-goose,1920s,aviation,test-flight,fight","Biography,Drama","Rated PG-13 for thematic elements, sexual content, nudity, language and a crash sequence","USA,Germany",English,110000000,858021(USA),102608827,170, Black and White,2.35:1
The Cutting Edge: The Magic of Movie Editing (2004)            ,"7.8 based on 1,918 user ratings",2004-10-12,NA,NA,NA,9 user,1 critic,NA,"editing,filmmaking,film-history,film-editor,old-movie",Documentary,NA,"USA,Japan,UK",English,NA,NA,NA,54, Black and White,1.85:1
50 First Dates (2004)            ,"6.8 based on 265,636 user ratings",2004-02-13,Peter Segal,"Adam Sandler,Drew Barrymore,Rob Schneider",48,456 user,147 critic,1,"short-term-memory-loss,dream,hawaii,veterinarian,hawaiian-shirt","Comedy,Romance",Rated PG-13 on appeal for crude sexual humor and drug references,USA,"English,Hawaiian,Mandarin,Turkish",75000000,45107871(USA),120776832,99,Color,2.35:1
The Bourne Supremacy (2004)            ,"7.8 based on 345,924 user ratings",2004-07-23,Paul Greengrass,"Matt Damon,Franka Potente,Joan Allen",73,802 user,238 critic,89,"cia,assassin,one-against-many,hidden-truth,car-chase","Action,Mystery,Thriller","Rated PG-13 for violence and intense action, and for brief language","USA,Germany","English,Russian,German,Italian",75000000,52521865(USA),176049130,108,Color,2.35:1
If Only (2004)            ,"7.2 based on 26,684 user ratings",2004-07-15,Gil Junger,"Jennifer Love Hewitt,Paul Nicholls,Tom Wilkinson",NA,133 user,13 critic,NA,"true-love,personal-growth,death-of-girlfriend,death-of-boyfriend,heavy-rain","Comedy,Drama,Fantasy,Romance",Rated PG-13 for some sexual material,"USA,UK",English,NA,NA,NA,92,Color,1.85:1
Sideways (2004)            ,"7.5 based on 149,778 user ratings",2005-01-21,Alexander Payne,"Paul Giamatti,Thomas Haden Church,Virginia Madsen",94,835 user,285 critic,2,"wine,writer,california,actor,teacher","Adventure,Comedy,Drama,Romance","Rated R for language, some strong sexual content and nudity","USA,Hungary","English,Armenian",12000000,207042(USA),71502303,126,Color,1.85:1
The Terminal (2004)            ,"7.3 based on 303,243 user ratings",2004-06-18,Steven Spielberg,"Tom Hanks,Catherine Zeta-Jones,Chi McBride",55,596 user,151 critic,1,"flight-attendant,airport,man-without-a-country,construction-site,fish-out-of-water","Comedy,Drama",Rated PG-13 for brief language and drug references,USA,"English,French,Russian,Bulgarian,Spanish",60000000,19053199(USA),77032279,128,Color,1.85:1
The Day After Tomorrow (2004)            ,"6.4 based on 332,584 user ratings",2004-05-28,Roland Emmerich,"Dennis Quaid,Jake Gyllenhaal,Emmy Rossum",47,"1,157 user",239 critic,963,"global-warming,natural-disaster,end-of-the-world,climate,weather","Action,Adventure,Sci-Fi,Thriller",Rated PG-13 for intense situations of peril,USA,"English,Japanese,French,Arabic,Spanish",125000000,£7321633(UK),186739919,124,Color,2.35:1
The Life Aquatic with Steve Zissou (2004)            ,"7.3 based on 139,258 user ratings",2004-12-25,Wes Anderson,"Bill Murray,Owen Wilson,Anjelica Huston",62,632 user,259 critic,1,"shark,team,expedition,oceanographer,sea","Adventure,Comedy,Drama","Rated R for language, some drug use, violence and partial nudity",USA,"English,Icelandic,Filipino,Portuguese,French,Tagalog,German,Italian",50000000,113085(USA),24006726,119,Color,2.35:1
Mysterious Skin (2004)            ,"7.7 based on 56,760 user ratings",2005-06-24,Gregg Araki,"Brady Corbet,Joseph Gordon-Levitt,Elisabeth Shue",73,246 user,137 critic,4,"gay-male-prostitute,male-hustler,loss-of-innocence,buried-memories,man-boy-relationship",Drama,NA,"USA,Netherlands",English,NA,17425(USA),697181,105,Color,1.85:1
Ray (2004)            ,"7.7 based on 110,190 user ratings",2004-10-29,NA,NA,73,433 user,209 critic,2,"rhythm-and-blues,singer,1960s,1950s,racism","Biography,Drama,Music","Rated PG-13 for depiction of drug addiction, sexuality and some thematic elements",USA,English,40000000,20039730(USA),75305995,152,Color,1.85:1
Man on Fire (2004)            ,"7.7 based on 265,882 user ratings",2004-04-23,Tony Scott,"Denzel Washington,Christopher Walken,Dakota Fanning",47,690 user,171 critic,1,"kidnapping,police-corruption,mexico,bodyguard,journalist","Action,Crime,Drama,Thriller",Rated R for language and strong violence,"USA,UK","English,Spanish",70000000,22751490(USA),77862546,146,Color,2.35:1
Speak (2004)            ,"7.4 based on 20,401 user ratings",2004-01-20,NA,NA,NA,90 user,14 critic,NA,"high-school,teacher,trauma,depression,mute",Drama,Rated PG-13 for mature thematic material involving a teen rape,USA,English,1000000,NA,NA,89,Color,2.35:1
"I, Robot (2004)            ","7.1 based on 386,652 user ratings",2004-07-16,Alex Proyas,"Will Smith,Bridget Moynahan,Bruce Greenwood",59,787 user,225 critic,1,"humanoid-robot,prosthetic-limb,man-versus-machine,robot-vs.-robot,robot-as-pathos","Action,Mystery,Sci-Fi,Thriller","Rated PG-13 for intense stylized action, and some brief partial nudity","USA,Germany",English,120000000,52179887(USA),144795350,115,Color,2.35:1
