name,ratingValue,date,director,stars,metaScore,review_users,review_critcs,popularity,keywords,genres,contentRating,country,language,budget,opening_week,gross,runtime,color,asp
Gone Girl (2014)            ,"8.1 based on 568,020 user ratings",2014-10-03,David Fincher,"Ben Affleck,Rosamund Pike,Neil Patrick Harris",79,"1,126 user",568 critic,192,"disappearance,missing-person,murder-suspect,based-on-novel,missing-wife","Crime,Drama,Mystery,Thriller","Rated R for a scene of bloody violence, some strong sexual content/nudity, and language",USA,English,61000000,37513109(USA),167735396,149,Color,2.35:1
The Grand Budapest Hotel (2014)            ,"8.1 based on 473,786 user ratings",2014-03-28,Wes Anderson,"Ralph Fiennes,F. Murray Abraham,Mathieu Amalric",88,642 user,536 critic,381,"hotel,first-person-narration,painting,lobby-boy,mentor-protege-relationship","Adventure,Comedy,Crime,Drama","Rated R for language, some sexual content and violence","USA,Germany,UK","English,French",25000000,811166(USA),59073773,99,Color,1.37:1
Interstellar (2014)            ,"8.6 based on 924,532 user ratings",2014-11-07,Christopher Nolan,"Matthew McConaughey,Anne Hathaway,Jessica Chastain",74,"2,726 user",711 critic,122,"wormhole,father-daughter-relationship,space-travel,black-hole,saving-the-world","Adventure,Drama,Sci-Fi",Rated PG-13 for some intense perilous action and brief strong language.,"USA,UK",English,165000000,47510360(USA),187991439,169,Color,2.35:1
Whiplash (2014)            ,"8.5 based on 397,031 user ratings",2014-10-15,Damien Chazelle,"Miles Teller,J.K. Simmons,Melissa Benoist",88,731 user,535 critic,251,"drummer,conservatory,emotional-abuse,music-school,obsession","Drama,Music",Rated R for strong language including some sexual references,USA,English,3300000,135388(USA),13092000,107,Color,2.40:1
Boyhood (2014)            ,"8.0 based on 265,406 user ratings",2014-08-15,Richard Linklater,"Ellar Coltrane,Patricia Arquette,Ethan Hawke",100,836 user,548 critic,763,"coming-of-age,domestic-abuse,12-year-time-span,separated-parents,growing-up",Drama,"Rated R for language including  sexual references, and for teen drug and  alcohol use",USA,"English,Spanish",4000000,387618(USA),25359200,165,Color,1.85:1
Nightcrawler (2014)            ,"7.9 based on 292,031 user ratings",2014-10-31,Dan Gilroy,"Jake Gyllenhaal,Rene Russo,Bill Paxton",76,552 user,533 critic,390,"sociopath,ethics,tv-news,journalism,employer-employee-relationship","Crime,Drama,Thriller","Rated R for violence including graphic images, and for language",USA,English,8500000,10441000(USA),32279955,117,Color,2.35:1
Big Hero 6 (2014)            ,"7.9 based on 278,048 user ratings",2014-11-07,"Don Hall,Chris Williams","Ryan Potter,Scott Adsit,Jamie Chung",74,434 user,384 critic,410,"robot,martial-arts,superhero,masked-man,high-tech","Animation,Action,Adventure,Comedy,Drama,Family,Sci-Fi","Rated PG for action and peril, some rude humor, and thematic elements.",USA,English,165000000,56215889(USA),222487711,102,Color,2.39:1
Birdman or (The Unexpected Virtue of Ignorance) (2014)            ,"7.8 based on 393,611 user ratings",2014-11-14,Alejandro G. Iñárritu,"Michael Keaton,Zach Galifianakis,Edward Norton",88,"1,100 user",588 critic,500,"actor,broadway-play,replacement,artist,stage","Comedy,Drama,Romance","Rated R for language  throughout, some sexual content and brief  violence",USA,English,18000000,424397(USA),42335698,119,Color,1.85:1
The Internet's Own Boy: The Story of Aaron Swartz (2014)            ,"8.1 based on 9,933 user ratings",2014-06-27,Brian Knappenberger,"Aaron Swartz,Tim Berners-Lee,Cindy Cohn",72,29 user,61 critic,NA,"internet,suicide,child-prodigy,internet-freedom,internet-politics","Documentary,Biography,Crime,News",NA,USA,English,NA,24300(USA),48911,105,Color,NA
Edge of Tomorrow (2014)            ,"7.9 based on 430,423 user ratings",2014-06-06,Doug Liman,"Tom Cruise,Emily Blunt,Bill Paxton",71,740 user,585 critic,426,"time-loop,alien,dying-repeatedly,combat,end-of-the-world","Action,Adventure,Sci-Fi","Rated PG-13 for  intense sequences of sci-fi action and  violence, language and brief suggestive  material","USA,Canada",English,178000000,28760246(USA),100189501,113,Color,2.35:1
Citizenfour (2014)            ,"8.1 based on 34,431 user ratings",2014-11-28,Laura Poitras,"Edward Snowden,Glenn Greenwald,William Binney",88,98 user,193 critic,2,"edward-snowden,nsa,reference-to-the-internet,hotel-room,mass-surveillance","Documentary,Biography,History,News",Rated R for language,"USA,Germany,UK","English,Portuguese,German",NA,193957(USA),2798808,114,Color,1.85:1
X-Men: Days of Future Past (2014)            ,"8.0 based on 512,721 user ratings",2014-05-23,Bryan Singer,"Patrick Stewart,Ian McKellen,Hugh Jackman",74,753 user,539 critic,237,"time-travel,retcon,supernatural-power,transformation,super-strength","Action,Adventure,Fantasy,Sci-Fi,Thriller","Rated PG- 13 for sequences of intense sci-fi violence  and action, some suggestive material,  nudity and language","USA,UK,Canada","English,Vietnamese,French",200000000,111000000(USA),233914986,132,Color,2.35:1
The Fault in Our Stars (2014)            ,"7.8 based on 248,845 user ratings",2014-06-06,Josh Boone,"Shailene Woodley,Ansel Elgort,Nat Wolff",69,548 user,326 critic,448,"cancer,teenager,falling-in-love,friendship,novel","Drama,Romance","Rated PG-13 for thematic elements, some sexuality and brief strong language",USA,English,12000000,48002523(USA),124868837,126,Color,1.85:1
The Hobbit: The Battle of the Five Armies (2014)            ,"7.5 based on 353,187 user ratings",2014-12-17,Peter Jackson,"Ian McKellen,Martin Freeman,Richard Armitage",59,803 user,421 critic,618,"middle-earth,orc,hobbit,elf,army","Adventure,Fantasy","Rated PG-13 for extended sequences of intense fantasy action violence, and frightening images","New Zealand,USA",English,250000000,54724334(USA),255108370,144,Color,2.35:1
In Your Eyes (2014)            ,"7.1 based on 20,580 user ratings",2014-04-20,Brin Hill,"Michael Stahl-David,Zoe Kazan,Mark Feuerstein",NA,48 user,35 critic,NA,"ex-con,loneliness,telepathy,new-mexico,mutual-masturbation","Romance,Sci-Fi",NA,USA,English,1000000,NA,NA,106,Color,1.78:1
Rudderless (2014)            ,"7.5 based on 12,604 user ratings",2015-02-21,William H. Macy,"Billy Crudup,Anton Yelchin,Felicity Huffman",52,60 user,44 critic,2,"demo-tape,grieving-father,guitar-player,guitar,directed-by-cast-member","Comedy,Drama,Music",Rated R for language,USA,English,5000000,37440(USA),37440,105,Color,NA
