name,ratingValue,date,director,stars,metaScore,review_users,review_critcs,popularity,keywords,genres,contentRating,country,language,budget,opening_week,gross,runtime,color,asp
Now You See Me (2013)            ,"7.3 based on 446,480 user ratings",2013-05-31,Louis Leterrier,"Jesse Eisenberg,Common,Mark Ruffalo",50,629 user,384 critic,129,"magician,heist,bank,fbi,interpol","Crime,Mystery,Thriller","Rated PG-13 for language, some action and sexual content","France,USA","English,French",75000000,29254674(USA),117698894,115,Color,2.35:1
Coherence (2013)            ,"7.2 based on 53,712 user ratings",2014-08-06,James Ward Byrkit,"Emily Baldoni,Maury Sterling,Nicholas Brendon",65,129 user,182 critic,1,"parallel-universe,quantum-physics,comet,dinner-party,alternate-reality","Sci-Fi,Thriller",NA,"USA,UK",English,NA,17000(USA),68877,89,Color,2.35:1
Frozen (2013)            ,"7.6 based on 420,763 user ratings",2013-11-27,"Chris Buck,Jennifer Lee","Kristen Bell,Idina Menzel,Jonathan Groff",74,904 user,406 critic,272,"snowman,sister-love,sister-sister-relationship,magic,snow","Animation,Adventure,Comedy,Family,Fantasy,Musical",Rated PG for some action and mild rude humor,USA,"English,Icelandic",150000000,67391326(USA),400736600,102,Color,2.24:1
Deu tae-ro ra-i-beu (2013)            ,"7.2 based on 2,708 user ratings",2013-07-31,NA,NA,NA,6 user,26 critic,NA,"terrorist,news-anchor,live-broadcast,telephone-call,bridge-collapse","Action,Crime,Thriller",NA,South Korea,Korean,NA,NA,NA,97,Color,2.35:1
The Attorney (2013)            ,"7.7 based on 2,355 user ratings",2013-12-18,Woo-seok Yang,"Kwang Soo Cha,Seon-Mook Cho,Ki-Jung Han",55,5 user,22 critic,NA,NA,Drama,NA,South Korea,Korean,5000000,NA,NA,127,Color,1.85:1
Her (2013)            ,"8.0 based on 354,143 user ratings",2014-01-10,Spike Jonze,"Joaquin Phoenix,Amy Adams,Scarlett Johansson",90,748 user,574 critic,519,"loneliness,future,female-frontal-nudity,operating-system,divorce","Drama,Romance,Sci-Fi","Rated R for language, sexual content and brief graphic nudity",USA,English,23000000,260382(USA),25556065,126,Color,1.85:1
The Conjuring (2013)            ,"7.5 based on 299,043 user ratings",2013-07-19,James Wan,"Patrick Wilson,Vera Farmiga,Ron Livingston",68,807 user,510 critic,182,"based-on-true-story,supernatural-power,paranormal-investigator,farmhouse,rhode-island","Horror,Mystery,Thriller",Rated R for sequences of disturbing violence and terror,USA,"English,Latin",20000000,41855326(USA),137387272,112,Color,2.35:1
About Time (2013)            ,"7.8 based on 201,683 user ratings",2013-11-08,Richard Curtis,"Domhnall Gleeson,Rachel McAdams,Bill Nighy",55,389 user,273 critic,384,"lingerie-slip,time-travel-romance,time-travel,wedding,boyfriend-girlfriend-relationship","Drama,Fantasy,Romance",Rated R for language and some sexual content,UK,English,12000000,1076250(USA),15294553,123,Color,2.35:1
The Purge (2013)            ,"5.6 based on 138,475 user ratings",2013-06-07,James DeMonaco,"Ethan Hawke,Lena Headey,Max Burkholder",41,577 user,360 critic,189,"violence,one-night,killing-spree,class-differences,suburb","Horror,Sci-Fi,Thriller",Rated R for strong disturbing violence and some language,"USA,France",English,3000000,34058360(USA),64423650,85,Color,2.35:1
The Secret Life of Walter Mitty (2013)            ,"7.3 based on 235,980 user ratings",2013-12-25,Ben Stiller,"Ben Stiller,Kristen Wiig,Jon Daly",54,515 user,362 critic,240,"life-magazine,magazine,photographer,daydream,snow-leopard","Adventure,Comedy,Drama,Fantasy,Romance","Rated PG for some crude comments, language and action violence","USA,UK,Canada,Australia","English,Spanish,Icelandic",90000000,13000000(USA),58229120,114,Color,2.35:1
The Croods (2013)            ,"7.3 based on 150,330 user ratings",2013-03-22,"Kirk De Micco,Chris Sanders","Nicolas Cage,Ryan Reynolds,Emma Stone",55,195 user,257 critic,1,"cave,caveman,survival,journey,strict-father","Animation,Adventure,Comedy,Family,Fantasy",Rated PG for some scary action,USA,English,135000000,43639736(USA),187165546,98,Color,2.35:1
Finding Mr. Right (2013)            ,"6.4 based on 1,501 user ratings",2013-03-21,NA,NA,50,7 user,6 critic,NA,NA,Comedy,NA,"China,Hong Kong","Mandarin,English,Min Nan",NA,924(USA),6945,121,Color,2.35:1
Sinsegye (2013)            ,"7.6 based on 12,742 user ratings",2013-02-21,Hoon-jung Park,"Jung-jae Lee,Min-sik Choi,Jung-min Hwang",58,38 user,68 critic,NA,"police,undercover-cop,crime-syndicate,criminal-gang,south-korean","Crime,Drama,Thriller",NA,South Korea,"Korean,Mandarin",NA,NA,NA,134,Color,2.35:1
So-won (2013)            ,8.1 based on 877 user ratings,2013-10-02,NA,NA,NA,5 user,7 critic,NA,NA,Drama,NA,South Korea,Korean,NA,NA,NA,122,Color,2.35:1
Begin Again (2013)            ,"7.4 based on 99,053 user ratings",2014-07-11,John Carney,"Keira Knightley,Mark Ruffalo,Adam Levine",62,181 user,283 critic,681,"manhattan-new-york-city,new-york-city,record-label,song,singer","Drama,Music",Rated R for language,USA,English,8000000,134064(USA),16168741,104,Color,1.85:1
Pacific Rim (2013)            ,"7.0 based on 380,475 user ratings",2013-07-12,Guillermo del Toro,"Idris Elba,Charlie Hunnam,Rinko Kikuchi",64,"1,107 user",575 critic,389,"kaiju,pilot,portal,robot,giant-monster","Action,Adventure,Sci-Fi","Rated PG-13 for sequences of intense sci-fi action and violence throughout, and brief language",USA,"English,Japanese,Cantonese,Mandarin",190000000,37285325(USA),101785482,131,Color,1.85:1
The Great Gatsby (2013)            ,"7.3 based on 362,201 user ratings",2013-05-10,Baz Luhrmann,"Leonardo DiCaprio,Carey Mulligan,Joel Edgerton",55,752 user,488 critic,475,"tragedy,party,mansion,ingratitude,title-appears-in-writing","Drama,Romance","Rated PG-13 for some violent images, sexual content, smoking, partying and brief language","Australia,USA",English,105000000,50085184(USA),144812796,143,Color,2.35:1
Despicable Me 2 (2013)            ,"7.5 based on 286,274 user ratings",2013-07-03,"Pierre Coffin,Chris Renaud","Steve Carell,Kristen Wiig,Benjamin Bratt",62,285 user,306 critic,1,"minion,woman-agent,overprotective-father,dating,undercover-spy","Animation,Comedy,Family,Sci-Fi",Rated PG for rude humor and mild action,USA,"English,Ukrainian",76000000,83517315(USA),368049635,98,Color,1.85:1
Wu ren qu (2013)            ,"7.4 based on 1,228 user ratings",2013-12-03,NA,NA,NA,5 user,20 critic,NA,"lawyer,gobi-desert,desert,thirst,prostitute","Adventure,Crime,Drama,Thriller,Western",NA,China,Mandarin,NA,NA,NA,118,Color,2.35:1
Bai niao chao feng (2013)            ,7.3 based on 160 user ratings,2016-05-06,NA,NA,NA,NA,2 critic,NA,NA,"Drama,History,Music",NA,China,Chinese,5000000,NA,NA,110,Color,2.35:1
