name,ratingValue,date,director,stars,metaScore,review_users,review_critcs,popularity,keywords,genres,contentRating,country,language,budget,opening_week,gross,runtime,color,asp
Django Unchained (2012)            ,"8.5 based on 952,472 user ratings",2012-12-25,Quentin Tarantino,"Jamie Foxx,Christoph Waltz,Leonardo DiCaprio",81,"1,193 user",765 critic,277,"historically-inaccurate,ku-klux-klan,n-word,dynamite,slavery","Drama,Western","Rated R for strong graphic violence throughout, a vicious fight, language and some nudity",USA,"English,German,French,Italian",100000000,30122888(USA),162804648,165,Color,2.35:1
Argo (2012)            ,"7.7 based on 451,716 user ratings",2012-10-12,Ben Affleck,"Ben Affleck,Bryan Cranston,John Goodman",86,694 user,656 critic,741,"cia,u.s.-embassy,1970s,f-word,year-1979","Biography,Drama,History,Thriller",Rated R for language and some violent images,USA,"English,Persian",44500000,19458109(USA),136019448,120,Color,2.35:1
Moonrise Kingdom (2012)            ,"7.8 based on 237,373 user ratings",2012-06-29,Wes Anderson,"Jared Gilman,Kara Hayward,Bruce Willis",84,377 user,487 critic,884,"young-love,1960s,boy-scouts-camp,boy-scouts,coming-of-age","Adventure,Comedy,Drama,Romance",Rated PG-13 for sexual content and smoking,USA,English,16000000,522996(USA),45507053,94,Color,1.85:1
Wreck-It Ralph (2012)            ,"7.8 based on 271,932 user ratings",2012-11-02,Rich Moore,"John C. Reilly,Jack McBrayer,Jane Lynch",72,344 user,377 critic,1,"medal,glitch,arcade,candy,king","Animation,Adventure,Comedy,Family,Sci-Fi",Rated PG for some rude humor and mild action/violence,USA,English,165000000,49038712(USA),189412677,101,Color,2.35:1
Cloud Atlas (2012)            ,"7.5 based on 284,422 user ratings",2012-10-26,"Tom Tykwer,Lana Wachowski","Tom Hanks,Halle Berry,Hugh Grant",55,826 user,511 critic,463,"nonlinear-timeline,future,letter,composer,nursing-home","Drama,Sci-Fi","Rated R for violence, language, sexuality/nudity and some drug use","Germany,USA,Hong Kong,Singapore","English,Spanish,Ukrainian",102000000,9612247(USA),27098580,172,Color,2.35:1
The Dark Knight Rises (2012)            ,"8.5 based on 1,141,049 user ratings",2012-07-20,Christopher Nolan,"Christian Bale,Tom Hardy,Anne Hathaway",78,"2,700 user",812 critic,159,"police-officer,lawlessness,terrorist-plot,deception,imprisonment","Action,Thriller","Rated PG-13 for intense sequences of violence and action, some sensuality and language","USA,UK","English,Arabic",250000000,160887295(USA),448130642,164,Color,2.35:1
The Perks of Being a Wallflower (2012)            ,"8.0 based on 350,389 user ratings",2012-10-12,Stephen Chbosky,"Logan Lerman,Emma Watson,Ezra Miller",67,457 user,364 critic,310,"mental-illness,high-school,gay,coming-of-age,depression","Drama,Romance","Rated PG-13 on appeal for mature thematic material, drug and alcohol use, sexual content including references, and a fight - all involving teens",USA,English,13000000,228359(USA),17738570,102,Color,1.85:1
Silver Linings Playbook (2012)            ,"7.8 based on 532,607 user ratings",2012-12-25,David O. Russell,"Bradley Cooper,Jennifer Lawrence,Robert De Niro",81,692 user,539 critic,625,"bipolar-disorder,obsessive-compulsive-personality-disorder,widow,unhappy-marriage,adulterous-wife","Comedy,Drama,Romance",Rated R for language and some sexual content/nudity,USA,English,21000000,443003(USA),132088910,122,Color,2.35:1
Frances Ha (2012)            ,"7.4 based on 43,852 user ratings",2013-08-23,Noah Baumbach,"Greta Gerwig,Mickey Sumner,Adam Driver",82,139 user,345 critic,3,"female-protagonist,best-friend,father-daughter-relationship,mother-daughter-relationship,black-and-white","Comedy,Drama,Romance",Rated R for sexual references and language,"USA,Brazil",English,NA,137398(USA),4063238,86, Black and White,1.85:1
Hotel Transylvania (2012)            ,"7.1 based on 163,692 user ratings",2012-09-28,Genndy Tartakovsky,"Adam Sandler,Kevin James,Andy Samberg",47,169 user,256 critic,1,"dracula,monster,hotel,transylvania,invisible-man","Animation,Comedy,Family,Fantasy","Rated PG for some rude humor, action and scary images",USA,English,85000000,42522194(USA),148313048,91,Color,1.85:1
The Hobbit: An Unexpected Journey (2012)            ,"7.9 based on 636,195 user ratings",2012-12-14,Peter Jackson,"Martin Freeman,Ian McKellen,Richard Armitage",58,"1,366 user",645 critic,498,"dragon,dwarf,wizard,orc,hobbit","Adventure,Fantasy","Rated PG-13 for extended sequences of intense fantasy action violence, and frightening images","USA,New Zealand",English,180000000,84617303(USA),303001229,169,Color,2.35:1
The Avengers (2012)            ,"8.1 based on 992,534 user ratings",2012-05-04,Joss Whedon,"Robert Downey Jr.,Chris Evans,Scarlett Johansson",69,"1,718 user",703 critic,268,"iron-man,soldier,assassin,alien-invasion,battle","Action,Adventure,Sci-Fi","Rated PG-13 for intense sequences of sci-fi violence and action throughout, and a mild drug reference",USA,"English,Russian",220000000,207438708(USA),623279547,143,Color,1.85:1
What Maisie Knew (2012)            ,"7.5 based on 21,546 user ratings",2013-05-03,"Scott McGehee,David Siegel","Julianne Moore,Alexander Skarsgård,Steve Coogan",74,87 user,166 critic,4,"custody-battle,new-york-city,art-dealer,rock-star,girl",Drama,Rated R for some language,USA,English,6000000,21480(USA),1065000,93,Color,2.35:1
To Rome with Love (2012)            ,"6.3 based on 67,747 user ratings",2012-07-06,Woody Allen,"Woody Allen,Penélope Cruz,Jesse Eisenberg",54,163 user,275 critic,2,"celebrity,shower,architect,tourist,prostitute","Comedy,Romance",Rated R for some sexual references,"USA,Italy,Spain","English,Italian",€17000000,361359(USA),16684352,112,Color,1.85:1
The Cabin in the Woods (2012)            ,"7.0 based on 276,563 user ratings",2012-04-13,Drew Goddard,"Kristen Connolly,Chris Hemsworth,Anna Hutchison",72,986 user,634 critic,702,"dark-humor,hatchet,robot,killed-in-an-elevator,cabin-in-the-woods","Fantasy,Horror,Mystery,Thriller","Rated R for strong bloody horror violence and gore, language, drug use and some sexuality/nudity",USA,"English,Japanese",30000000,14743614(USA),42043633,95,Color,2.35:1
Side by Side (2012)            ,"7.7 based on 11,196 user ratings",2012-08-22,Christopher Kenneally,"Derek Ambrosi,Michael Ballhaus,Andrzej Bartkowiak",82,40 user,98 critic,NA,"cinematographer,interview,filmmaking,reference-to-star-wars,three-word-title",Documentary,NA,USA,English,NA,6956(USA),28592,99,Color,1.85:1
Les Misérables (2012)            ,"7.6 based on 243,486 user ratings",2012-12-25,Tom Hooper,"Hugh Jackman,Russell Crowe,Anne Hathaway",63,845 user,488 critic,592,"rebellion,parole,student,barricade,innkeeper","Drama,Musical,Romance","Rated PG-13 for suggestive and sexual material, violence and thematic elements","USA,UK",English,61000000,27281735(USA),148775460,158,Color,1.85:1
Rise of the Guardians (2012)            ,"7.3 based on 123,295 user ratings",2012-11-21,Peter Ramsey,"Hugh Jackman,Alec Baldwin,Isla Fisher",57,174 user,256 critic,1,"children,belief,box-office-hit,new-york-city,tooth","Animation,Adventure,Family,Fantasy",Rated PG for thematic elements and some mildly scary action,USA,"English,French",145000000,23773465(USA),103400692,97,Color,1.85:1
Lincoln (2012)            ,"7.4 based on 197,111 user ratings",2012-11-16,Steven Spielberg,"Daniel Day-Lewis,Sally Field,David Strathairn",86,720 user,538 critic,1,"politics,cultural-conflict,slavery,president,u.s.-president","Biography,Drama,History,War","Rated PG-13 for an intense scene of war violence, some images of carnage and brief strong language","USA,India",English,65000000,944308(USA),182204440,150,Color,2.35:1
Ice Age: Continental Drift (2012)            ,"6.6 based on 144,965 user ratings",2012-07-13,"Steve Martino,Mike Thurmeier","Ray Romano,Denis Leary,John Leguizamo",49,138 user,233 critic,673,"pirate,iceberg,herd,ocean,acorn","Animation,Adventure,Comedy,Family",Rated PG for mild rude humor and action/peril,USA,English,95000000,46629259(USA),161317423,88,Color,2.35:1
Mud (2012)            ,"7.4 based on 134,982 user ratings",2013-05-10,Jeff Nichols,"Matthew McConaughey,Tye Sheridan,Jacob Lofland",76,260 user,368 critic,1,"boat,boy,river,14-year-old,bounty-hunter",Drama,"Rated PG-13 for some violence, sexual references, language, thematic elements and smoking",USA,English,10000000,2215460(USA),21589307,130,Color,2.35:1
Madagascar 3: Europe's Most Wanted (2012)            ,"6.9 based on 118,922 user ratings",2012-06-08,"Eric Darnell,Tom McGrath","Ben Stiller,Jada Pinkett Smith,Chris Rock",60,154 user,211 critic,2,"island-name-in-title,penguin,circus,animal,lemur","Animation,Adventure,Comedy,Family",Rated PG for some mild action and rude humor,USA,"English,Norwegian",145000000,60316738(USA),216366733,NA,Color,1.85:1
Brave (2012)            ,"7.2 based on 272,948 user ratings",2012-06-22,"Mark Andrews,Brenda Chapman","Kelly Macdonald,Billy Connolly,Emma Thompson",69,428 user,488 critic,758,"princess,archery,coming-of-age,female-warrior,rebellious-daughter","Animation,Adventure,Comedy,Family,Fantasy",Rated PG for some scary action and rude humor,USA,English,185000000,66323594(USA),237282182,93,Color,2.35:1
The Odd Life of Timothy Green (2012)            ,"6.6 based on 37,330 user ratings",2012-08-15,Peter Hedges,"Jennifer Garner,Joel Edgerton,CJ Adams",47,110 user,169 critic,4,"dodgeball,young-love,soccer-game,soccer,portrait","Comedy,Drama,Family,Fantasy",Rated PG for mild thematic elements and brief language,USA,English,25000000,10822903(USA),51853450,105,Color,1.85:1
