name,ratingValue,date,director,stars,metaScore,review_users,review_critcs,popularity,keywords,genres,contentRating,country,language,budget,opening_week,gross,runtime,color,asp
Inception (2010)            ,"8.8 based on 1,464,525 user ratings",2010-07-16,Christopher Nolan,"Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page",74,"2,801 user",642 critic,172,"dream,subconscious,ambiguous-ending,thief,corporate-espionage","Action,Adventure,Sci-Fi,Thriller",Rated PG-13 for sequences of violence and action throughout,"USA,UK","English,Japanese,French",160000000,£5912814(UK),292568851,148,Color,2.35:1
Black Swan (2010)            ,"8.0 based on 550,525 user ratings",2010-12-17,Darren Aronofsky,"Natalie Portman,Mila Kunis,Vincent Cassel",79,"1,139 user",668 critic,329,"ballerina,ballet,madness,female-protagonist,fear","Drama,Thriller","Rated R for strong sexual content, disturbing violent images, language and some drug use",USA,"English,French,Italian",13000000,1443809(USA),106952327,108,Color,2.35:1
Bill Cunningham New York (2010)            ,"7.9 based on 4,252 user ratings",2011-03-16,Richard Press,"Bill Cunningham,Anna Wintour,Michael Kors",76,20 user,78 critic,NA,"fashion,photographer,celebrity,new-york-city,milliner","Documentary,Biography",NA,USA,English,NA,33677(USA),1510026,84,Color,NA
The Social Network (2010)            ,"7.7 based on 478,458 user ratings",2010-10-01,David Fincher,"Jesse Eisenberg,Andrew Garfield,Justin Timberlake",95,696 user,556 critic,427,"facebook,competitiveness,creator,intellectual-property,entrepreneur","Biography,Drama","Rated PG-13 for sexual content, drug and alcohol use and language",USA,"English,French",40000000,22445653(USA),96917897,120,Color,2.35:1
How to Train Your Dragon (2010)            ,"8.2 based on 484,184 user ratings",2010-03-26,"Dean DeBlois,Chris Sanders","Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse",74,492 user,288 critic,1,"dragon,viking,village,island,training","Animation,Adventure,Family,Fantasy","Rated PG for sequences of intense action and some scary images, and brief mild language",USA,English,165000000,43732319(USA),217387997,98,Color,2.35:1
Shutter Island (2010)            ,"8.1 based on 783,757 user ratings",2010-02-19,Martin Scorsese,"Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo",63,965 user,489 critic,383,"surprise-ending,self-delusion,female-prisoner,year-1954,plot-twist","Mystery,Thriller","Rated R for disturbing violent content, language and some nudity",USA,"English,German",80000000,41062440(USA),127968405,138,Color,2.35:1
Inside Job (2010)            ,"8.3 based on 55,290 user ratings",2010-11-12,Charles Ferguson,"Matt Damon,William Ackman,Daniel Alpert",88,129 user,171 critic,3,"iceland,interview,recession,florida,new-york-city-new-york","Documentary,Crime",Rated PG-13 for some drug and sex-related material,USA,English,NA,39649(USA),4311834,105,Color,2.35:1
Despicable Me (2010)            ,"7.7 based on 385,051 user ratings",2010-07-09,"Pierre Coffin,Chris Renaud","Steve Carell,Jason Segel,Russell Brand",72,297 user,304 critic,1,"girl,moon,white-picket-fence,pyramid,minion","Animation,Comedy,Family",Rated PG for rude humor and mild action,"USA,France",English,69000000,56397125(USA),251501645,95,Color,1.85:1
Toy Story 3 (2010)            ,"8.3 based on 543,484 user ratings",2010-06-18,Lee Unkrich,"Tom Hanks,Tim Allen,Joan Cusack",92,733 user,453 critic,935,"toy,college,escape,day-care,teddy-bear","Animation,Adventure,Comedy,Family,Fantasy",NA,USA,"English,Spanish",200000000,109000000(USA),414984497,103,Color,1.85:1
127 Hours (2010)            ,"7.6 based on 278,677 user ratings",2011-01-28,Danny Boyle,"James Franco,Amber Tamblyn,Kate Mara",82,440 user,450 critic,1,"alone,aron-ralston,based-on-autobiography,survival,canyon","Adventure,Biography,Drama,Thriller",Rated R for language and some disturbing violent content/bloody images,"USA,UK","English,Italian",18000000,264851(USA),18329466,94,Color,1.85:1
The Way (2010)            ,"7.4 based on 22,643 user ratings",2010-11-19,Emilio Estevez,"Martin Sheen,Emilio Estevez,Deborah Kara Unger",64,124 user,130 critic,3,"journey,pilgrimage,father,walking,traveling","Adventure,Comedy,Drama",NA,"USA,Spain","English,Spanish,French",NA,£104397(UK),4430650,NA,Color,1.85:1
True Grit (2010)            ,"7.7 based on 240,556 user ratings",2010-12-22,"Ethan Coen,Joel Coen","Jeff Bridges,Matt Damon,Hailee Steinfeld",80,723 user,493 critic,287,"murder,sheriff,u.s.-marshal,texas-ranger,arkansas","Adventure,Drama,Western",Rated PG-13 for some intense sequences of western violence including disturbing images,USA,English,38000000,24850000(USA),171031347,110,Color,2.35:1
Blue Valentine (2010)            ,"7.4 based on 141,194 user ratings",2011-01-28,Derek Cianfrance,"Ryan Gosling,Michelle Williams,John Doman",81,282 user,377 critic,1,"dysfunctional-family,falling-in-love,unhappily-married-woman,female-in-shower,dog-hit-by-a-car","Drama,Romance","Rated R on appeal for strong graphic sexual content, language, and a beating",USA,English,3500000,193728(USA),9701559,112,Color,1.66:1
Eat Pray Love (2010)            ,"5.7 based on 63,397 user ratings",2010-08-13,Ryan Murphy,"Julia Roberts,Javier Bardem,Richard Jenkins",50,302 user,213 critic,1,"emotional-balance,indonesia,divorce,inner-peace,female-protagonist","Drama,Romance","Rated PG-13 on appeal for brief strong language, some sexual references and male rear nudity",USA,"English,Italian,Portuguese",60000000,23104523(USA),80574010,133,Color,1.85:1
I Love You Phillip Morris (2009)            ,"6.6 based on 77,173 user ratings",2011-01-07,"Glenn Ficarra,John Requa","Jim Carrey,Ewan McGregor,Leslie Mann",65,161 user,242 critic,3,"gay,con-artist,prison-break,character-name-in-title,fraud","Biography,Comedy,Crime,Drama,Romance","Rated R for sexual content including strong dialogue, and language","France,USA",English,13000000,£1066092(UK),2035566,102,Color,1.85:1
Tangled (2010)            ,"7.8 based on 294,131 user ratings",2010-11-24,"Nathan Greno,Byron Howard","Mandy Moore,Zachary Levi,Donna Murphy",71,387 user,324 critic,541,"disney,17th-century,based-on-fairy-tale,flower,tower","Animation,Adventure,Comedy,Family,Fantasy,Musical,Romance",Rated PG for brief mild violence,USA,English,260000000,48767052(USA),200807262,NA,Color,1.85:1
The Next Three Days (2010)            ,"7.4 based on 146,152 user ratings",2010-11-19,Paul Haggis,"Russell Crowe,Elizabeth Banks,Liam Neeson",52,237 user,239 critic,2,"evidence,murder,murder-weapon,fingerprints,argument","Crime,Drama,Romance,Thriller","Rated PG-13 for violence, drug material, language, some sexuality and thematic elements","USA,France",English,35000000,6542779(USA),21129348,133,Color,2.35:1
The Fighter (2010)            ,"7.9 based on 275,426 user ratings",2010-12-17,David O. Russell,"Mark Wahlberg,Christian Bale,Amy Adams",79,388 user,410 critic,1,"boxing,boxer,crack-cocaine,boxing-match,lowell-massachusetts","Biography,Drama,Sport","Rated R for language throughout, drug content, some violence and sexuality",USA,English,25000000,300010(USA),93571803,116,Color,2.35:1
Love & Other Drugs (2010)            ,"6.7 based on 143,133 user ratings",2010-11-24,Edward Zwick,"Jake Gyllenhaal,Anne Hathaway,Judy Greer",55,215 user,219 critic,1,"viagra,female-nudity,pfizer,zoloft,male-objectification","Comedy,Drama,Romance","Rated R for strong sexual content, nudity, pervasive language, and some drug material",USA,English,30000000,9739161(USA),32357532,112,Color,1.85:1
Kick-Ass (2010)            ,"7.7 based on 435,079 user ratings",2010-04-16,Matthew Vaughn,"Aaron Taylor-Johnson,Nicolas Cage,Chloë Grace Moretz",66,801 user,447 critic,482,"comic-book,reference-to-batman,female-killer,narrated-by-character,hit-in-the-crotch","Action,Comedy","Rated R for strong brutal violence throughout, pervasive language, sexual content, nudity and some drug use - some involving children","UK,USA",English,30000000,£3881704(UK),48043505,117,Color,2.35:1
Letters to Juliet (2010)            ,"6.5 based on 74,481 user ratings",2010-05-14,Gary Winick,"Amanda Seyfried,Gael García Bernal,Vanessa Redgrave",50,156 user,159 critic,2,"verona-italy,italian-stereotype,female-protagonist,chick-flick,man-in-a-swimsuit","Comedy,Drama,Romance","Rated PG for brief rude behavior, some language and incidental smoking",USA,"English,Italian,Spanish",30000000,13540486(USA),53021560,NA,Color,2.35:1
Alice in Wonderland (2010)            ,"6.5 based on 305,769 user ratings",2010-03-05,Tim Burton,"Mia Wasikowska,Johnny Depp,Helena Bonham Carter",53,735 user,451 critic,766,"shrinking-potion,mistaking-reality-for-dream,shrinking,alice-in-wonderland,queen","Adventure,Family,Fantasy","Rated PG for fantasy action/violence involving scary images and situations, and for a smoking caterpillar",USA,English,200000000,£10555220(UK),334185206,108,Color,1.85:1
I'm Here (2010)            ,"7.9 based on 6,291 user ratings",2010-01-21,NA,NA,NA,9 user,7 critic,NA,NA,"Short,Drama,Romance,Sci-Fi",NA,USA,English,NA,NA,NA,NA,Color,NA
Winter's Bone (2010)            ,"7.2 based on 111,527 user ratings",2010-07-16,Debra Granik,"Jennifer Lawrence,John Hawkes,Garret Dillahunt",90,297 user,364 critic,2,"female-protagonist,search-for-father,family-relationships,bail,crystal-meth",Drama,"Rated R for some drug material, language and violent content",USA,English,2000000,84887(USA),6531491,100,Color,1.85:1
Hubble 3D (2010)            ,"7.8 based on 3,413 user ratings",2010-03-19,Toni Myers,"Leonardo DiCaprio,K. Megan McArthur,Scott D. Altman",79,8 user,32 critic,NA,"imax,3d-in-title,space-shuttle,number-3-in-title,3-d","Documentary,Short",NA,Canada,English,NA,410920(USA),51698013,44,Color,1.44:1
The Town (2010)            ,"7.6 based on 279,797 user ratings",2010-09-17,Ben Affleck,"Ben Affleck,Rebecca Hall,Jon Hamm",74,420 user,378 critic,591,"bank-robbery,criminal-gang,heist,bank-manager,prison","Crime,Drama,Thriller","Rated R for strong violence, pervasive language, some sexuality and drug use",USA,English,37000000,23808032(USA),92173235,125,Color,2.35:1
It's Kind of a Funny Story (2010)            ,"7.2 based on 105,909 user ratings",2010-10-08,"Anna Boden,Ryan Fleck","Keir Gilchrist,Zach Galifianakis,Emma Roberts",63,149 user,163 critic,2,"suicide-attempt,depression,based-on-novel,psychiatric-ward,therapy","Comedy,Drama,Romance","Rated PG-13 for mature thematic issues, sexual content, drug material and language",USA,English,8000000,2013406(USA),6350058,101,Color,1.85:1
Rabbit Hole (2010)            ,"7.0 based on 40,581 user ratings",2011-01-28,John Cameron Mitchell,"Nicole Kidman,Aaron Eckhart,Dianne Wiest",76,144 user,248 critic,4,"car,comic-book-artist,comic-book,memory,iphone",Drama,"Rated PG-13 for mature thematic material, some drug use and language",USA,English,5000000,53778(USA),2221809,91,Color,1.85:1
