name,ratingValue,date,director,stars,metaScore,review_users,review_critcs,popularity,keywords,genres,contentRating,country,language,budget,opening_week,gross,runtime,color,asp
Brokeback Mountain (2005)            ,"7.7 based on 259,478 user ratings",2006-01-13,Ang Lee,"Jake Gyllenhaal,Heath Ledger,Michelle Williams",87,"2,254 user",356 critic,721,"gay-relationship,homosexuality,mountain,ranch,rodeo","Drama,Romance","Rated R for sexuality, nudity, language and some violence","USA,Canada",English,14000000,547425(USA),83025853,134,Color,1.85:1
Lord of War (2005)            ,"7.6 based on 247,754 user ratings",2005-09-16,Andrew Niccol,"Nicolas Cage,Ethan Hawke,Jared Leto",62,437 user,168 critic,1,"arms-dealer,1980s,ukrainian,immorality,warlord","Crime,Drama,Thriller","Rated R for strong violence, drug use, language and sexuality","USA,Germany,France","English,Ukrainian,German,Spanish,Russian,French,Arabic,Turkish",50000000,9390144(USA),24127895,122,Color,2.35:1
Match Point (2005)            ,"7.7 based on 165,922 user ratings",2006-01-20,Woody Allen,"Scarlett Johansson,Jonathan Rhys Meyers,Emily Mortimer",72,735 user,278 critic,940,"extramarital-affair,infidelity,tennis,instructor,love","Drama,Romance,Thriller",Rated R for some sexuality,"UK,Russia,Ireland,Luxembourg,USA",English,15000000,829351(Spain),23089926,119,Color,1.85:1
Cinderella Man (2005)            ,"8.0 based on 148,029 user ratings",2005-06-03,Ron Howard,"Russell Crowe,Renée Zellweger,Craig Bierko",69,529 user,201 critic,1,"boxing,dream,love,great-depression,boxer","Biography,Drama,Sport",Rated PG-13 for intense boxing violence and some language,USA,English,88000000,18320205(USA),61644321,144,Color,2.35:1
The Skeleton Key (2005)            ,"6.5 based on 87,279 user ratings",2005-08-12,Iain Softley,"Kate Hudson,Peter Sarsgaard,Joy Bryant",47,371 user,193 critic,1,"hoodoo,bound-and-gagged,southern-gothic,secret,attic","Horror,Mystery,Thriller","Rated PG-13 for violence, disturbing images, some partial nudity and thematic material","USA,Germany","English,French",43000000,£769698(UK),47806295,104, Black and White,2.35:1
Batman Begins (2005)            ,"8.3 based on 977,902 user ratings",2005-06-15,Christopher Nolan,"Christian Bale,Michael Caine,Ken Watanabe",70,"2,683 user",477 critic,302,"social-decay,gangster,gotham,armored-car,mixed-martial-arts","Action,Adventure","Rated PG-13 for intense action violence, disturbing images and some thematic elements","USA,UK","English,Urdu,Mandarin",150000000,£4427802(UK),205343774,140,Color,2.35:1
Stay (2005)            ,"6.9 based on 60,218 user ratings",2005-10-21,Marc Forster,"Ewan McGregor,Naomi Watts,Ryan Gosling",41,350 user,138 critic,3,"art-student,dying,psychiatrist,patient,suicide","Drama,Mystery,Thriller",Rated R for language and some disturbing images,USA,English,50000000,2188199(USA),3626883,99,Color,2.35:1
Thank You for Smoking (2005)            ,"7.6 based on 191,817 user ratings",2006-04-14,Jason Reitman,"Aaron Eckhart,Cameron Bright,Maria Bello",71,323 user,239 critic,3,"reporter,lobbyist,cigarette-smoking,tobacco-industry,political-satire","Comedy,Drama",Rated R for language and some sexual content,USA,English,6500000,262923(USA),24792061,92,Color,2.35:1
One Man Band (2005)            ,"7.8 based on 10,682 user ratings",2006-06-06,NA,NA,NA,20 user,17 critic,NA,"one-man-band,coin,street-performer,busker,rivalry","Animation,Short,Family,Music",NA,USA,English,NA,NA,NA,4,Color,2.35:1
Transamerica (2005)            ,"7.4 based on 36,278 user ratings",2006-03-03,Duncan Tucker,"Felicity Huffman,Kevin Zegers,Fionnula Flanagan",66,230 user,169 critic,3,"male-full-frontal-nudity,transsexual,stepfather,sex-change,bail","Adventure,Comedy,Drama","Rated R for sexual content, nudity, language and drug use",USA,"English,Spanish",1000000,46908(USA),9013113,103,Color,1.85:1
Broken Flowers (2005)            ,"7.2 based on 81,318 user ratings",2005-08-26,Jim Jarmusch,"Bill Murray,Jessica Lange,Sharon Stone",79,518 user,231 critic,4,"search,former-lover,driving-car,casual-sex,single-parent","Comedy,Drama,Mystery,Romance","Rated R for language, some graphic nudity and brief drug use","USA,France",English,10000000,780408(USA),13736078,106,Color,1.85:1
Capote (2005)            ,"7.4 based on 100,390 user ratings",2006-02-03,Bennett Miller,"Philip Seymour Hoffman,Clifton Collins Jr.,Catherine Keener",88,415 user,271 critic,3,"book,truman-capote,kansas,killer,holcomb-kansas","Biography,Crime,Drama",Rated R for some violent images and brief strong language,"Canada,USA",English,7000000,324857(USA),28747570,114,Color,2.35:1
Mr. & Mrs. Smith (2005)            ,"6.5 based on 348,051 user ratings",2005-06-10,Doug Liman,"Brad Pitt,Angelina Jolie Pitt,Adam Brody",55,798 user,233 critic,1,"secret-agent,assassin,target,marriage,suburb","Action,Comedy,Crime,Romance,Thriller","Rated PG-13 for sequences of violence, intense action, sexual content and brief strong language",USA,"English,Spanish",120000000,£3943422(UK),186336103,120,Color,2.35:1
Lords of Dogtown (2005)            ,"7.1 based on 43,844 user ratings",2005-06-03,Catherine Hardwicke,"Heath Ledger,Emile Hirsch,Victor Rasuk",56,194 user,119 critic,2,"skateboarder,surf,swimming-pool,skateboarding,1970s","Biography,Drama,Sport","Rated PG-13 for drug and alcohol content, sexuality, violence, language and reckless behavior - all involving teens","USA,Germany","English,Spanish",25000000,5623373(USA),11008432,107,Color,1.85:1
The Squid and the Whale (2005)            ,"7.4 based on 60,220 user ratings",2005-12-16,Noah Baumbach,"Owen Kline,Jeff Daniels,Laura Linney",82,231 user,109 critic,NA,"boy,writer,tennis,tennis-coach,divorce","Comedy,Drama","Rated R for strong sexual content, graphic dialogue and language",USA,English,1500000,279938(USA),7362100,81,Color,1.85:1
Constantine (2005)            ,"6.9 based on 235,383 user ratings",2005-02-18,Francis Lawrence,"Keanu Reeves,Rachel Weisz,Djimon Hounsou",50,"1,007 user",286 critic,993,"hell,demon,twin,suicide,twin-sister","Drama,Fantasy,Horror,Thriller",Rated R for violence and demonic images,"USA,Germany","English,Filipino,Tagalog",100000000,2094982(Spain),75500759,121,Color,2.35:1
A Lot Like Love (2005)            ,"6.6 based on 58,235 user ratings",2005-04-22,Nigel Cole,"Ashton Kutcher,Amanda Peet,Taryn Manning",48,161 user,112 critic,3,"flight,love,hasselblad-camera,medium-format-camera,los-angeles-california","Comedy,Drama,Romance","Rated PG-13 for sexual content, nudity and language",USA,"English,American Sign Language",30000000,7576593(USA),21835784,107,Color,1.85:1
Coach Carter (2005)            ,"7.2 based on 92,471 user ratings",2005-01-14,Thomas Carter,"Samuel L. Jackson,Rick Gonzalez,Robert Ri'chard",57,209 user,127 critic,3,"contract,high-school,coach,basketball,basketball-coach","Drama,Sport","Rated PG-13 for violence, sexual content, language, teen partying and some drug material","USA,Germany",English,30000000,29168180(USA),67253092,136,Color,2.35:1
Hard Candy (2005)            ,"7.1 based on 131,790 user ratings",2006-04-28,David Slade,"Patrick Wilson,Ellen Page,Sandra Oh",58,651 user,231 critic,2,"missing-person-poster,sexual-predator,online-dating,photographer,chatting","Crime,Drama,Thriller","Rated R for disturbing violent and aberrant sexual content involving a teen, and for language",USA,English,950000,58049(USA),1007962,104,Color,2.35:1
Cry_Wolf (2005)            ,"5.9 based on 23,002 user ratings",2005-09-16,Jeff Wadlow,"Julian Morris,Lindy Booth,Jared Padalecki",39,220 user,137 critic,NA,"school,game,student,e-mail,serial-killer","Drama,Horror,Mystery,Thriller","Rated PG-13 for violence, terror, disturbing images, language, sexuality and a brief drug reference",USA,English,1000000,4428209(USA),10042266,90,Color,2.35:1
The Weather Man (2005)            ,"6.6 based on 69,113 user ratings",2005-10-28,Gore Verbinski,"Nicolas Cage,Hope Davis,Nicholas Hoult",61,315 user,156 critic,NA,"weatherman,failure,new-york-city,funeral-in-the-rain,corndog","Comedy,Drama",Rated R for strong language and sexual content,"USA,Germany",English,22000000,4248465(USA),12469811,102,Color,1.85:1
Walk the Line (2005)            ,"7.9 based on 188,401 user ratings",2005-11-18,James Mangold,"Joaquin Phoenix,Reese Witherspoon,Ginnifer Goodwin",72,814 user,291 critic,891,"prison,concert,guitar,1960s,accident","Biography,Drama,Music,Romance","Rated PG-13 for some language, thematic material and depiction of drug dependency","USA,Germany","English,Russian",28000000,22347341(USA),119518352,136,Color,2.39:1
Kiss Kiss Bang Bang (2005)            ,"7.6 based on 175,490 user ratings",2005-11-18,Shane Black,"Robert Downey Jr.,Val Kilmer,Michelle Monaghan",72,336 user,223 critic,1,"actor,thief,hotel,nightclub,detective-sergeant","Comedy,Crime,Mystery","Rated R for language, violence and sexuality/nudity",USA,English,15000000,180660(USA),4235837,103,Color,2.35:1
