name,ratingValue,date,director,stars,metaScore,review_users,review_critcs,popularity,keywords,genres,contentRating,country,language,budget,opening_week,gross,runtime,color,asp
Into the Wild (2007)            ,"8.2 based on 425,360 user ratings",2007-10-19,Sean Penn,"Emile Hirsch,Vince Vaughn,Catherine Keener",73,760 user,274 critic,454,"wilderness,alaska,male-nudity,self-discovery,based-on-true-story","Adventure,Biography,Drama",Rated R for language and some nudity,USA,"English,Danish",15000000,212440(USA),18352454,148,Color,2.35:1
The Man from Earth (2007)            ,"8.0 based on 129,408 user ratings",2007-11-13,Richard Schenkman,"David Lee Smith,Tony Todd,John Billingsley",NA,637 user,66 critic,NA,"dialogue-driven-storyline,single-setting,storytelling,cro-magnon,single-set-production","Drama,Romance,Sci-Fi",NA,USA,English,200000,NA,NA,87,Color,1.78:1
The Bucket List (2007)            ,"7.4 based on 184,512 user ratings",2008-01-11,Rob Reiner,"Jack Nicholson,Morgan Freeman,Sean Hayes",42,310 user,207 critic,2,"list,hospital,mechanic,billionaire,friend","Adventure,Comedy,Drama","Rated PG-13 for language, including a sexual reference",USA,English,45000000,161840(USA),93452056,97,Color,1.85:1
No Country for Old Men (2007)            ,"8.1 based on 610,672 user ratings",2007-11-21,"Ethan Coen,Joel Coen","Tommy Lee Jones,Javier Bardem,Josh Brolin",91,"1,517 user",488 critic,396,"sheriff,desert,texas,tracking-device,coin-toss","Crime,Drama,Thriller",Rated R for strong graphic violence and some language,USA,"English,Spanish",25000000,1226333(USA),74273505,122,Color,2.35:1
An American Crime (2007)            ,"7.4 based on 25,395 user ratings",2007-12-07,Tommy O'Haver,"Ellen Page,Hayley McFarland,Nick Searcy",NA,116 user,54 critic,NA,"jumping-on-a-bed,teenage-girl,single-mother,carnival,basement","Biography,Crime,Drama",Rated R for strong and disturbing depiction of child abuse and torture,USA,English,2000000,NA,NA,98,Color,2.35:1
There Will Be Blood (2007)            ,"8.1 based on 372,172 user ratings",2008-01-25,Paul Thomas Anderson,"Daniel Day-Lewis,Paul Dano,Ciarán Hinds",92,"1,107 user",398 critic,610,"oil,alcoholic,alcoholism,money,turn-of-the-century",Drama,Rated R for some violence,USA,"English,American Sign Language",25000000,302845(USA),40218903,158,Color,2.35:1
Juno (2007)            ,"7.5 based on 413,660 user ratings",2007-12-25,Jason Reitman,"Ellen Page,Michael Cera,Jennifer Garner",81,881 user,387 critic,595,"pregnancy,adoption,baby,friend,school","Comedy,Drama,Romance","Rated PG-13 for mature thematic material, sexual content and language",USA,English,7500000,413869(USA),143492840,96,Color,1.85:1
The Bourne Ultimatum (2007)            ,"8.1 based on 488,853 user ratings",2007-08-03,Paul Greengrass,"Matt Damon,Edgar Ramírez,Joan Allen",85,819 user,329 critic,75,"cia,memory,dark-past,action-hero,flashback","Action,Mystery,Thriller",Rated PG-13 for violence and intense sequences of action,"USA,Germany","English,French,Arabic,Russian,Spanish",110000000,69283690(USA),227137090,115,Color,2.35:1
The Simpsons Movie (2007)            ,"7.4 based on 258,709 user ratings",2007-07-27,David Silverman,"Dan Castellaneta,Julie Kavner,Nancy Cartwright",80,763 user,299 critic,3,"pig,dome,the-simpsons,alaska,lake","Animation,Adventure,Comedy",Rated PG-13 for irreverent humor throughout,USA,English,75000000,£13626853(UK),183132370,87,Color,2.35:1
Ratatouille (2007)            ,"8.0 based on 472,876 user ratings",2007-06-29,NA,NA,96,626 user,318 critic,1,"rat,chef,restaurant,french,food","Animation,Comedy,Family,Fantasy",NA,USA,"English,French",150000000,47027395(USA),206435493,111,Color,2.35:1
I'm Not There. (2007)            ,"7.0 based on 48,294 user ratings",2007-12-07,Todd Haynes,"Christian Bale,Cate Blanchett,Heath Ledger",73,230 user,231 critic,3,"1960s,actor,reporter,riding-the-rails,horseback-riding","Biography,Drama,Music","Rated R for language, some sexuality and nudity","USA,Germany,Canada",English,20000000,730819(USA),4001121,135, Black and White,2.35:1
The Darjeeling Limited (2007)            ,"7.2 based on 137,947 user ratings",2007-10-26,Wes Anderson,"Owen Wilson,Adrien Brody,Jason Schwartzman",67,283 user,282 critic,2,"train,funeral,india,snake,journey","Adventure,Comedy,Drama",Rated R for language,USA,"English,Hindi,German,Tibetan",17500000,134938(USA),11896380,91,Color,2.35:1
Sicko (2007)            ,"8.0 based on 66,537 user ratings",2007-07-03,Michael Moore,"Michael Moore,Tucker Albrizzi,Tony Benn",74,429 user,263 critic,NA,"france,canada,cuba,hmo,guantanamo","Documentary,Drama",Rated PG-13 for brief strong language,USA,"English,French,Spanish,Russian",9000000,68969(USA),24530513,123,Color,1.85:1
Dead Silence (2007)            ,"6.2 based on 65,863 user ratings",2007-03-16,James Wan,"Ryan Kwanten,Amber Valletta,Donnie Wahlberg",34,311 user,159 critic,2,"ventriloquist,ghost,package,ghost-story,doll",Horror,Rated R for horror violence and images,USA,English,20000000,7842725(USA),16545445,89,Color,2.35:1
August Rush (2007)            ,"7.5 based on 87,228 user ratings",2007-11-21,Kirsten Sheridan,"Freddie Highmore,Keri Russell,Jonathan Rhys Meyers",38,364 user,148 critic,2,"baby,cellist,prodigy,rhapsody,genius","Drama,Music","Rated PG for some thematic elements, mild violence and language",USA,English,30000000,9421369(USA),31655091,114,Color,2.35:1
I Am Legend (2007)            ,"7.2 based on 529,664 user ratings",2007-12-14,Francis Lawrence,"Will Smith,Alice Braga,Charlie Tahan",65,"1,413 user",323 critic,360,"survivalist,post-apocalypse,virus,new-york-city,pandemic","Drama,Horror,Sci-Fi",Rated PG-13 for intense sequences of sci-fi action and violence,USA,English,150000000,77211321(USA),256386216,101,Color,2.35:1
The Kite Runner (2007)            ,"7.6 based on 68,054 user ratings",2008-01-11,Marc Forster,"Khalid Abdalla,Ahmad Khan Mahmoodzada,Atossa Leoni",61,230 user,201 critic,3,"based-on-novel,friend,afghanistan,boy,kite",Drama,"Rated PG-13 for strong thematic material including the rape of a child, violence and brief strong language","USA,China","Dari,English,Pushto,Russian,Urdu",20000000,471713(USA),15797907,128,Color,2.35:1
Freedom Writers (2007)            ,"7.5 based on 52,420 user ratings",2007-01-05,Richard LaGravenese,"Hilary Swank,Imelda Staunton,Patrick Dempsey",64,235 user,84 critic,2,"teacher,high-school,marriage,journal,gang-violence","Biography,Crime,Drama","Rated PG-13 for violent content, some thematic material and language","Germany,USA",English,21000000,9405582(USA),36581633,123,Color,1.85:1
Love in the Time of Cholera (2007)            ,"6.4 based on 19,089 user ratings",2007-11-16,Mike Newell,"Javier Bardem,Giovanna Mezzogiorno,Benjamin Bratt",43,115 user,115 critic,NA,"love,widow,colombia,marriage,19th-century","Drama,Romance",Rated R for sexual content/nudity and brief language,USA,English,45000000,1924860(USA),4584886,139,Color,2.35:1
Zodiac (2007)            ,"7.7 based on 300,412 user ratings",2007-03-02,David Fincher,"Jake Gyllenhaal,Robert Downey Jr.,Mark Ruffalo",78,588 user,377 critic,616,"serial-killer,zodiac,reporter,cartoonist,zodiac-killer","Crime,Drama,History,Mystery,Thriller","Rated R for some strong killings, language, drug material and brief sexual images",USA,English,65000000,13395610(USA),33048353,157,Color,2.35:1
The Great Debaters (2007)            ,"7.6 based on 47,571 user ratings",2007-12-25,Denzel Washington,"Denzel Washington,Forest Whitaker,Kimberly Elise",65,117 user,112 critic,NA,"student,debate,college,wiley-college,texas","Biography,Drama","Rated PG-13 for depiction of strong thematic material including violence and disturbing images, and for language and brief sexuality",USA,English,15000000,3604000(USA),30226144,126,Color,2.35:1
Grindhouse (2007)            ,"7.6 based on 155,345 user ratings",2007-04-06,"Robert Rodriguez,Eli Roth","Kurt Russell,Rose McGowan,Danny Trejo",77,532 user,250 critic,1,"zombie,double-feature,real-twins-playing-twins,anthropophagus,blood-and-gore","Action,Horror,Thriller","Rated R for strong graphic bloody violence and gore, pervasive language, some sexuality, nudity and drug use",USA,"English,Spanish",53000000,11596613(USA),25031037,191,Color,2.35:1
American Gangster (2007)            ,"7.8 based on 324,290 user ratings",2007-11-02,Ridley Scott,"Denzel Washington,Russell Crowe,Chiwetel Ejiofor",76,458 user,300 critic,771,"popcorn,heroin,death,smuggling,vietnam","Biography,Crime,Drama","Rated R for violence, pervasive drug content and language, nudity and sexuality","USA,UK",English,100000000,24028445(USA),130127620,157,Color,1.85:1
